	Feature	Mutual Information
157	cemetery_km	0.355606
158	trc_count_2000	0.351620
159	market_count_5000	0.349784
160	green_part_1000	0.348659
161	prom_part_2000	0.346129
162	cafe_count_2000_price_500	0.343392
163	cafe_avg_price_1000	0.342221
164	water_km	0.341870
165	industrial_km	0.341689
166	green_zone_km	0.338753
167	cafe_count_1000	0.336038
168	prom_part_1500	0.334258
169	cafe_sum_1500_min_price_avg	0.331650
170	office_sqm_3000	0.331528
171	big_church_count_3000	0.331004
172	cafe_count_1500_price_1000	0.330036
173	cafe_sum_2000_max_price_avg	0.329486
174	cafe_sum_1000_min_price_avg	0.323541
175	num_room	0.322770
176	cafe_count_1500_price_1500	0.322161
177	build_count_wood	0.320219
178	cafe_count_3000_price_2500	0.318631
179	cafe_count_3000_na_price	0.317368
180	max_floor	0.314274
181	cafe_sum_1500_max_price_avg	0.313571
182	office_count_3000	0.311054
183	church_count_3000	0.310546
184	prom_part_1000	0.304754
185	trc_sqm_1500	0.303216
186	green_part_500	0.295825
187	cafe_sum_1000_max_price_avg	0.293019
188	trc_count_1500	0.291774
189	office_sqm_2000	0.288315
190	cafe_count_1500_price_500	0.287568
191	sport_count_1000	0.285806
192	leisure_count_5000	0.280289
193	shopping_centers_raion	0.278993
194	cafe_count_5000_price_4000	0.266608
195	office_count_2000	0.262118
196	cafe_avg_price_500	0.255311
197	market_count_3000	0.248625
198	cafe_count_2000_price_2500	0.245915
199	cafe_count_2000_na_price	0.244510
200	prom_part_500	0.242613
201	cafe_count_1000_price_1000	0.240128
202	cafe_count_1000_price_1500	0.233225
203	office_raion	0.233150
204	cafe_sum_500_max_price_avg	0.228187
205	build_count_1921-1945	0.227084
206	office_sqm_1500	0.224067
207	additional_education_raion	0.220983
208	ID_railroad_terminal	0.216848
209	big_church_count_2000	0.212278
210	office_count_1500	0.211036
211	cafe_count_1000_price_500	0.208195
212	cafe_sum_500_min_price_avg	0.207025
213	trc_sqm_1000	0.202814
214	healthcare_centers_raion	0.201199
215	church_count_2000	0.196639
216	cafe_count_500	0.193786
217	cafe_count_1500_price_2500	0.177820
218	leisure_count_3000	0.175331
219	trc_count_1000	0.174199
220	cafe_count_1500_na_price	0.171535
221	big_church_count_1500	0.163581
222	church_count_1500	0.163185
223	office_sqm_1000	0.155232
224	market_count_2000	0.151996
225	cafe_count_3000_price_4000	0.148855
226	office_count_1000	0.135434
227	build_count_slag	0.128550
228	sport_count_500	0.126646
229	leisure_count_2000	0.112588
230	cafe_count_5000_price_high	0.111615
231	cafe_count_500_price_1000	0.110605
232	build_count_before_1920	0.109822
233	cafe_count_1000_price_2500	0.109590
234	cafe_count_1000_na_price	0.106396
235	cafe_count_500_price_1500	0.104438
236	cafe_count_2000_price_4000	0.101393
237	market_count_1500	0.100295
238	cafe_count_500_price_500	0.098099
239	material	0.097886
240	church_count_1000	0.097708
241	incineration_raion	0.094074
242	leisure_count_1500	0.088205
243	big_church_count_1000	0.088179
244	floor	0.081815
245	trc_count_500	0.079064
246	radiation_raion	0.074982
247	build_count_frame	0.074825
248	office_count_500	0.069411
249	cafe_count_1500_price_4000	0.065812
250	mosque_count_5000	0.063930
251	trc_sqm_500	0.062914
252	ecology	0.061036
253	church_count_500	0.059985
254	office_sqm_500	0.059662
255	market_count_1000	0.056629
256	cafe_count_3000_price_high	0.056037
257	big_market_raion	0.054288
258	mosque_count_3000	0.047299
259	build_count_mix	0.046448
260	leisure_count_1000	0.046046
261	cafe_count_500_na_price	0.044263
262	cafe_count_1000_price_4000	0.042438
263	cafe_count_500_price_2500	0.041764
264	big_church_count_500	0.040069
265	water_1line	0.034550
266	cafe_count_2000_price_high	0.033629
267	university_top_20_raion	0.027530
268	culture_objects_top_25_raion	0.025064
269	market_count_500	0.022980
270	cafe_count_500_price_4000	0.018511
271	detention_facility_raion	0.016818
272	cafe_count_1500_price_high	0.016379
273	build_count_foam	0.015165
274	railroad_1line	0.015153
275	railroad_terminal_raion	0.014649
276	nuclear_reactor_raion	0.014306
277	thermal_power_plant_raion	0.013829
278	school_education_centers_top_20_raion	0.012738
279	cafe_count_500_price_high	0.012131
280	mosque_count_2000	0.010913
281	cafe_count_1000_price_high	0.008648
282	culture_objects_top_25	0.008152
283	leisure_count_500	0.007927
284	mosque_count_1500	0.007669
285	mosque_count_1000	0.006405
286	big_road1_1line	0.005938
287	oil_chemistry_raion	0.003195
288	mosque_count_500	0.001710
